row_id,attack_id,language,original_claim,original_evidence,adversarial_claim,adversarial_evidence,gold_label,target_label,edit_granularity,technique_params,validity_flags,skip_reason
16,CA_WORD_03_Jumbling,hi,गोवा में आए अंतर्राष्ट्रीय प्रतिनिधियों को कमांड कंट्रोल सेंटर और मीडिया निगरानी केंद्रों के बारे में जानकारी दी गई थी।,"पीआईबी की विज्ञप्ति में गोवा में प्रतिनिधियों को कमांड कंट्रोल सेंटर, मीडिया निगरानी केंद्र और प्रेषण केंद्र से अवगत कराने की बात है।",गोवा मीडिया में में और जानकारी कंट्रोल को प्रतिनिधियों निगरानी अंतर्राष्ट्रीय गई कमांड सेंटर बारे के केंद्रों दी थी। आए,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
17,CA_WORD_03_Jumbling,hi,50 वर्ष से अधिक उम्र के पुरुषों को टाइप-2 मधुमेह की रोकथाम के लिए प्रतिदिन 45 मिनट तेज चलना चाहिए।,सीडीसी (सीडीसी) टाइप 2 मधुमेह को रोकने के लिए सप्ताह में कम से कम 150 मिनट की मध्यम-तीव्रता वाली शारीरिक गतिविधि (जैसे तेज चलना) करने की सलाह देता है।,रोकथाम से प्रतिदिन वर्ष टाइप-2 45 उम्र चाहिए। मिनट की 50 चलना को तेज के के लिए मधुमेह पुरुषों अधिक,,NEI,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
18,CA_WORD_03_Jumbling,hi,"बिहार विशेष गहन पुनरीक्षण में 35,69,435 मतदाता अपने पते पर नहीं मिले थे।","पीआईबी की विज्ञप्ति में अपने पते पर न मिलने वाले मतदाताओं की संख्या 35,69,435 बताई गई है।","पर में मिले बिहार पुनरीक्षण गहन नहीं थे। 35,69,435 अपने मतदाता विशेष पते",,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
19,CA_WORD_03_Jumbling,hi,2019 में महाराष्ट्र से बैल पोला के वीडियो को तमिलनाडू में पुलिसकर्मी पर अत्याचार के नाम से वायरल,"ये वीडियो 2019 में महाराष्ट्र में बैल पोला के त्यौहार के समय का है जिसका तमिलनाडु से कोई संबंध नहीं है। तमिलनाडु में बिहारी मजदूरों पर अत्याचारों कीख़बरोंके बीच सोशल मीडिया पर तरह तरह के असंबंधित वीडियो शेयर किए जा रहे हैं। इसी के चलते सोशल मीडिया पर एक वीडियो वायरल हो रहा है जिसमें हम पुलिसकर्मियों के पीछे स्थानीय लोगों को भागते हुए देख सकते है। इस वीडियो को शेयर करते हुए दावा किया जा रहा है कि तमिलनाडु में पुलिसकर्मियों को बिहारी मजदूर भगा भगाकर मार रहे है। सोशल मीडिया पर वायरल वीडियो के कैप्शन में लिखा गया है कि “तमिलनाडु के पुलिस को बिहारी लोग दौड़ा दौड़ा के मार रहे है।” इन्स्टाग्राम पोस्ट।आर्काइव लिंक अनुसंधान से पता चलता है कि… जाँच की शुरुवात हमने वीडियो को छोटे की फ्रेम्स में तोडा और गूगल पर रिवर्स इमेज सर्च किया, जिसके परिणाम से हमें वायरल वीडियो का लम्बा वर्शन यूट्यूब पर उपलब्ध मिला। 31 अगस्त 2019 को अपलोड किये गये इस वीडियो के कैप्शन में लिखा गया है कि “VARADSIM गावं की पुलिस माग दौड़ना बैल 2019 बैल पोला VARADSIM गावं।” वीडियो में दिए गए जानकारी के अनुसार ये वीडियो भुसावल तहसील के वरदसिम गावं में 2019 बैल पोला के त्यौहार से है। इस 28 सेकंड के वीडियो में हम उन्ही लोगों को देख सकते है जो वायरल वीडियो में दिख रहे है। नीचे आप दोनों वीडियो की समानता देख सकते है जिससे ये स्पष्ट होता है कि वायरल वीडियो- यूट्यूब वीडियो का ही हिस्सा है। दोनों वीडियो समान है। आगे फैक्ट क्रेसेंडो ने भुसावल के पुलिस स्टेशन के एस.एच.ओ से संपर्क किया, जिन्होंने हमें बताया कि वायरल वीडियो पुराना है और भुसावल में बैल पोला के समय का है। असल में बैल पोला के समय पुलिसकर्मी सबके आगे भागकर लोगों को रस्ते से हटा रहे थे ताकि पीछे से बैलों  की रेस हो सके। इस वीडियो का तमिलनाडू के साथ कोई संबंध नहीं है। बैल पोला क्या है? बैल पोलामहाराष्ट्र, मध्य प्रदेश और छत्तीसगढ़ में किसानों द्वारा मनाया जाने वाला एक धन्यवाद उत्सव है, जो बैल और बैलों के महत्व को स्वीकार करने के लिए मनाया जाता है। ये त्यौहार कृषि और कृषि गतिविधियों का एक महत्वपूर्ण हिस्सा हैं। इस त्यौहार के चलते बैलों को सजाया जाता है और उन पर तरह-तरह के चित्र बनाए जाते हैं। साथ ही एक जुलूस भी निकाला जाता है जहां गांव के लोग जश्न मनाने के लिए इक",को पोला से 2019 तमिलनाडू के पुलिसकर्मी पर में के वीडियो महाराष्ट्र में नाम से वायरल अत्याचार बैल,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
20,CA_WORD_03_Jumbling,hi,"एक व्यक्ति मतदान केंद्र पहुंचकर केवल वोटर कार्ड या आधार दिखाकर, मतदाता सूची में नाम न होने पर भी वोट डाल सकता है।",निर्वाचन आयोग के स्पष्टीकरण में कहा गया है कि जिसका नाम मतदाता सूची में नहीं है वह मतदान-दिन मतदान नहीं कर सकता।,"व्यक्ति पहुंचकर नाम कार्ड आधार डाल वोट मतदान है। वोटर भी न में एक होने सूची केवल मतदाता दिखाकर, केंद्र पर सकता या",,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
21,CA_WORD_03_Jumbling,hi,पीएम आवास घेराव के बाद पटना में हुई हालिया झड़प के नाम पर वायरल हुआ पुराना वीडियो।,"पटना में बीजेपी-कांग्रेस कार्यकर्ताओं के बीच झड़प का वीडियो हालिया प्रदर्शन का नहीं, पुराना है। हाल ही में नीट (NEET) पेपर लीक मामले पर 21 जुलाई को दिल्ली में पीएम आवास के पास प्रदर्शन कर रहे राहुल गांधी, प्रियंका गांधी और मल्लिकार्जुन खर्गे सहित कई कांग्रेस नेताओं को पुलिस ने हिरासत में ले लिया था। जिसके जवाब में भाजपा कार्यकर्ताओं ने भी राहुल गांधी के खिलाफ प्रदर्शन किया। इसी राजनीतिक टकराव के बीच, सोशल मीडिया पर एक वीडियो वायरल किया जा रहा है, जिसमें बीजेपी और कांग्रेस पार्टी के लोग हाथ में पार्टी का झंडा लिए एक दूसरे से भिड़ते हुए दिखाई दे रहे हैं। दावा किया जा रहा है कि यह वीडियो पटना का है जहां भाजपा और कांग्रेस कार्यकर्ताओं के बीच हिंसक झड़प हो गई। यूज़र ने वीडियो को यह कैप्शन लिखते हुए शेयर किया है… महासंग्रामदिल्लीमेंहुईकिरकिरीकेबादभाजपानेअपनेकार्यकर्ताओंकाआह्वानकियाथाकिसभीराज्योंकीराजधानीमेंकांग्रेसकार्यालयकाघेरावकरे।उसआह्वानकेबादपटनाकाहालदेखलीजिए,कांग्रेसीभीतैयारबैठेथे,फिरवहीहुआजोइसवीडियोमेंदिखरहाहै। फेसबुक पोस्ट।आर्काइव पोस्ट अनुसंधानसेपताचलताहैकि… हमने जांच की शुरुआत में वायरल वीडियो के कीफ्रेम को रिवर्स इमेज सर्च किया। परिणाम में हमें 29 अगस्त, 2025 को साझा की गईएक फेसबुकपोस्ट मिली, जिसमें वही दृश्य दिखाई दे रहे थे। एकअन्य फेसबुकपेज पर भी इसी वायरल वीडियो को साझा किया गया था, जिसके साथ कैप्शन में लिखा था, “पटना में भाजपा कार्यकर्ता और कांग्रेस में बबाल मची हड़कंप।” इससे इतनी बात तो यही साबित होती है कि यह वीडियो हालिया छात्र विरोध प्रदर्शनों और प्रधानमंत्री आवास के बाहर कांग्रेस के प्रदर्शन से पहले का ही है। पड़ताल के अगले चरण में हमेंएएनआईके एक्स हैंडल पर वायरल वीडियो का अलग एंगल से रिकॉर्ड किया गया वीडियो मिला, जिसे 29 अगस्त 2025 को पोस्ट किया गया था। बताया गया है कि “पटना में कांग्रेस कार्यालय के सामने भाजपा कार्यकर्ताओं के विरोध-प्रदर्शन के दौरान दोनों दलों के कार्यकर्ताओं के बीच झड़प हो गई थी।” #WATCH| Patna, Bihar: BJP and Congress workers clash as the former staged a protest against the latter in front of the Congress office.pic.twitter.com/GDUxM0JgyB हमें वायरल वीडियो से सम्बंधित एक वीडियो रिपोर्टटाइम्स नाउके यूट्यूब चैनल पर मिली। यहां वीडियो क",हालिया आवास नाम के वायरल के पुराना घेराव पटना झड़प पीएम वीडियो। हुआ हुई में बाद पर,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
22,CA_WORD_03_Jumbling,hi,गांव में केवल कुछ ही दुकानें खुली थीं।,लेख में इक्का-दुक्का दुकानें खुलने का उल्लेख है।,कुछ खुली ही केवल गांव में दुकानें थीं।,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
23,CA_WORD_03_Jumbling,hi,मान्यता प्राप्त दलों के उम्मीदवारों को घर से मतदान सुविधा लेने वाले मतदाताओं की सूची नहीं दी जाती।,निर्वाचन आयोग के अनुसार मान्यता प्राप्त राजनीतिक दलों के उम्मीदवारों को घर से मतदान सुविधा लेने वाले मतदाताओं की सूची उपलब्ध कराई जाती है।,लेने उम्मीदवारों जाती। दी की मतदाताओं घर दलों प्राप्त सूची से नहीं के वाले मान्यता को मतदान सुविधा,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
24,CA_WORD_03_Jumbling,hi,ईपीआईसी मतदान के समय मतदाता की पहचान स्थापित करने वाले दस्तावेजों में से एक है।,पीआईबी की हिंदी विज्ञप्ति में ईपीआईसी को मतदान के समय मतदाता की पहचान स्थापित करने वाले दस्तावेजों में से एक बताया गया है।,की एक करने के है। मतदाता वाले से स्थापित मतदान ईपीआईसी पहचान दस्तावेजों समय में,,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
25,CA_WORD_03_Jumbling,hi,वायरल तस्वीर में ‘बॉयकॉट बॉलीवुड’ लिखा पोस्टर प्रदर्शन के दौरान वास्तव में मौजूद था।,मूल तस्वीर 2012 में निर्भया कांड के विरोध प्रदर्शन के दौरान ली गई थी। रिवर्स सर्च और मूल फोटो की तुलना से पता चला कि वायरल संस्करण में पोस्टर का संदेश डिजिटल रूप से बदल दिया गया था।,मौजूद में वायरल प्रदर्शन था। ‘बॉयकॉट बॉलीवुड’ के पोस्टर लिखा वास्तव दौरान तस्वीर में,,REF,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
26,CA_WORD_03_Jumbling,hi,"बिहार विशेष गहन पुनरीक्षण में एक से अधिक स्थानों पर पंजीकृत पाए गए मतदाताओं की संख्या 5,76,479 थी।","पीआईबी की विज्ञप्ति में एक से अधिक स्थानों पर पंजीकृत अब तक पहचाने गए मतदाताओं की संख्या 5,76,479 है।","पुनरीक्षण से 5,76,479 विशेष मतदाताओं संख्या स्थानों गहन पाए पर पंजीकृत बिहार की अधिक थी। एक गए में",,SUP,same_as_gold,word,"{""shuffle_type"": ""uniform_random"", ""word_order_preserved"": false}","{""fluency_checked"": false, ""label_consistent"": true, ""meaning_preserved"": false}",
